Hours,Iron,OD,Trial
255.5,1/10x,0.281648204,2nd
267.5,1/10x,0.281648204,2nd
280,1/10x,0.304374334,2nd
291.75,1/10x,0.292618754,2nd
307,1/10x,0.292618754,2nd
317,1/10x,0.304374334,2nd
339.5,1/10x,0.292618754,2nd
351.5,1/10x,0.292618754,2nd
364,1/10x,0.292618754,2nd
376.5,1/10x,0.304374334,2nd
387.5,1/10x,0.316998372,2nd
401,1/10x,0.330586256,2nd
411.5,1/10x,0.316998372,2nd
426,1/10x,0.330586256,2nd
435.5,1/10x,0.330586256,2nd
448.75,1/10x,0.345247516,2nd
0,1x,0.214902223,2nd
14,1x,0.214902223,2nd
24,1x,0.214902223,2nd
39,1x,0.208526079,2nd
51.17,1x,0.208526079,2nd
63.5,1x,0.214902223,2nd
75,1x,0.214902223,2nd
86.5,1x,0.214902223,2nd
99.5,1x,0.214902223,2nd
111.5,1x,0.228751111,2nd
123,1x,0.236285626,2nd
136.17,1x,0.228751111,2nd
147.75,1x,0.221634142,2nd
161.5,1x,0.228751111,2nd
171.25,1x,0.236285626,2nd
186,1x,0.244273861,2nd
172.75,1x,0.244273861,2nd
207.5,1x,0.252756186,2nd
221,1x,0.252756186,2nd
231.75,1x,0.271389414,2nd
220,1x,0.281648204,2nd
255.5,1x,0.281648204,2nd
267.5,1x,0.271389414,2nd
280,1x,0.281648204,2nd
291.75,1x,0.281648204,2nd
307,1x,0.292618754,2nd
317,1x,0.292618754,2nd
339.5,1x,0.281648204,2nd
351.5,1x,0.292618754,2nd
364,1x,0.316998372,2nd
376.5,1x,0.292618754,2nd
387.5,1x,0.304374334,2nd
401,1x,0.345247516,2nd
411.5,1x,0.316998372,2nd
426,1x,0.330586256,2nd
435.5,1x,0.316998372,2nd
448.75,1x,0.330586256,2nd
0,10x,0.214902223,2nd
14,10x,0.214902223,2nd
24,10x,0.214902223,2nd
39,10x,0.228751111,2nd
51.17,10x,0.214902223,2nd
63.5,10x,0.214902223,2nd
75,10x,0.228751111,2nd
86.5,10x,0.236285626,2nd
99.5,10x,0.236285626,2nd
111.5,10x,0.236285626,2nd
123,10x,0.228751111,2nd
136.17,10x,0.236285626,2nd
147.75,10x,0.236285626,2nd
161.5,10x,0.244273861,2nd
171.25,10x,0.244273861,2nd
186,10x,0.252756186,2nd
172.75,10x,0.271389414,2nd
207.5,10x,0.271389414,2nd
221,10x,0.271389414,2nd
231.75,10x,0.271389414,2nd
220,10x,0.281648204,2nd
255.5,10x,0.281648204,2nd
267.5,10x,0.271389414,2nd
280,10x,0.281648204,2nd
291.75,10x,0.304374334,2nd
307,10x,0.304374334,2nd
317,10x,0.304374334,2nd
339.5,10x,0.292618754,2nd
351.5,10x,0.330586256,2nd
364,10x,0.304374334,2nd
376.5,10x,0.316998372,2nd
387.5,10x,0.292618754,2nd
401,10x,0.330586256,2nd
411.5,10x,0.330586256,2nd
426,10x,0.330586256,2nd
435.5,10x,0.330586256,2nd
448.75,10x,0.330586256,2nd
0,0x,0.228751111,3rd
11.93,0x,0.236285626,3rd
24.28,0x,0.236285626,3rd
35.92,0x,0.228751111,3rd
48.87,0x,0.228751111,3rd
61.08,0x,0.228751111,3rd
71.83,0x,0.236285626,3rd
83.87,0x,0.236285626,3rd
98.32,0x,0.228751111,3rd
109,0x,0.244273861,3rd
120.92,0x,0.228751111,3rd
133.17,0x,0.228751111,3rd
142.38,0x,0.236285626,3rd
157.85,0x,0.228751111,3rd
169.65,0x,0.228751111,3rd
180.15,0x,0.244273861,3rd
194.18,0x,0.236285626,3rd
204.42,0x,0.244273861,3rd
241,0x,0.244273861,3rd
239.17,0x,0.252756186,3rd
253,0x,0.244273861,3rd
264.75,0x,0.244273861,3rd
289,0x,0.236285626,3rd
312.83,0x,0.244273861,3rd
336.25,0x,0.252756186,3rd
