,PB110_D1,PB122_E_S47_L005_R1_001,PB149_E,PB205_D1_GTGGCC_L004_R1,PB214_B6_CAACTA_L001_R1,PNIBD01_D_S22_L002_R1_001,PNIBD47_G,PNIBD51_D
hsa-let-7d-3p_+_3,0,0,0,0,0,0,0,0
hsa-let-7d-3p_+_4,0,0,0,0,0,0,0,0
hsa-let-7d-5p,7662.349977,3085.019104,5109.600381,9150.965699,5884.152867,4418.689526,5276.072887,5851.632075
hsa-let-7d-5p_-_1,0,0,0,0,12.33205691,0,86.90002401,14.6124751
hsa-let-7d-5p_+_1,0,0,0,0,0,0,0,0
hsa-let-7d-5p_+_2,0,0,75.22795018,58.44314228,55.49425608,55.87543146,0,0
hsa-let-7d-5p_+_3,0,0,0,0,0,0,0,0
hsa-let-7d-5p_+_4,0,0,0,0,0,0,0,0
hsa-let-7d-5p_+_5,0,0,0,0,0,0,0,0
hsa-let-7d-5p_+_6,0,0,0,0,0,0,0,0
hsa-let-7e-3p,0,0,63.42748741,0,120.6779854,37.7536699,0,0
hsa-let-7e-3p_-_1,0,0,22.1258677,0,0,0,0,0
hsa-let-7e-3p_+_1,0,0,0,0,36.99617072,0,0,0
hsa-let-7e-5p,13573.83225,5463.192289,15020.51405,11276.45051,20962.73502,31645.12611,6720.268524,38131.91798
hsa-let-7e-5p_-_1,0,0,20.65080985,0,0,70.97689942,0,34.53857751
hsa-let-7e-5p_-_2,0,0,0,0,0,0,0,0
hsa-let-7e-5p_+_1,0,0,0,0,14.97464053,0,0,46.49423896
hsa-let-7e-5p_+_2,0,0,0,0,18.49808536,0,0,0
hsa-let-7e-5p_+_3,0,0,0,0,18.49808536,36.24352311,0,22.58291607
hsa-let-7e-5p_+_4,0,0,0,0,17.61722415,21.14205515,0,0
hsa-let-7e-5p_+_5,0,0,0,0,23.7832526,19.63190835,0,0
hsa-let-7e-5p_+_6,0,0,0,0,0,0,0,0
hsa-let-7f-1-3p,0,33.03018312,35.40138832,0,71.34975781,49.83484427,78.62383125,0
hsa-let-7f-1-3p_-_1,0,0,0,0,0,0,0,0
hsa-let-7f-1-3p_-_2,0,0,0,0,0,0,0,0
hsa-let-7f-1-5p,156592.0784,86968.47217,267363.0851,123807.183,147206.8824,427179.7547,133072.9034,343649.5474
hsa-let-7f-1-5p_-_1,110.5811181,89.18149444,203.5579828,83.05078114,76.63492506,187.2582027,66.20954211,257.7109245
hsa-let-7f-1-5p_+_1,225.7697828,138.7267691,281.7360487,159.9496526,202.5980777,324.6815612,91.0381204,348.0425888
hsa-let-7f-1-5p_+_2,46.07546588,42.93923806,19.17575201,0,45.80478279,75.50733981,0,73.06237551
hsa-let-7f-1-5p_+_3,119.7962113,49.54527469,91.45358649,98.43055542,68.70717419,141.9537988,0,114.2429872
hsa-let-7f-1-5p_+_4,0,0,35.40138832,33.83550343,38.75789313,27.18264233,0,54.46467992
hsa-let-7f-1-5p_+_5,0,0,0,30.75954857,21.14066898,0,0,0
hsa-let-7f-1-5p_+_6,0,0,0,0,0,0,0,0
hsa-let-7f-1-5p_+_7,0,0,0,0,0,0,0,0
hsa-let-7f-2-3p,0,0,0,92.27864571,230.7856364,131.3827713,0,135.4974964
hsa-let-7f-2-3p_-_1,0,0,0,0,0,0,0,0
hsa-let-7f-2-3p_-_2,0,0,0,0,0,0,0,0
hsa-let-7f-2-3p_-_3,0,0,0,0,0,0,0,0
hsa-let-7f-2-3p_+_1,0,0,0,0,0,0,0,0
hsa-let-7f-2-3p_+_2,0,0,0,0,0,0,0,0
hsa-let-7f-2-5p,164480.1981,90288.00557,280024.9816,128344.2164,154411.4462,444718.5996,142830.5347,358777.4443
hsa-let-7f-2-5p_-_1,313.313168,201.4841171,383.5150401,129.190104,177.9339639,324.6815612,173.800048,490.1821193
hsa-let-7f-2-5p_-_2,0,0,0,0,0,0,0,0
hsa-let-7f-2-5p_+_1,230.3773294,138.7267691,278.785933,159.9496526,217.5727183,394.1483138,91.0381204,337.4153342
hsa-let-7f-2-5p_+_2,46.07546588,39.63621975,19.17575201,0,44.04306038,75.50733981,0,73.06237551
hsa-let-7f-2-5p_+_3,119.7962113,49.54527469,91.45358649,98.43055542,74.87320264,141.9537988,0,128.8554623
hsa-let-7f-2-5p_+_4,0,0,35.40138832,33.83550343,38.75789313,33.22322952,0,54.46467992
